Rank,Item,Major Group,Family Group,Menu Class,Total Net Sales,Total Qty Sold,Avg Price,Discount,Discount Pct,Rev Contribution Pct,Cumulative Rev Pct
680,Machiatto,Food,Ent - Coffee,Star,20475.47,620,33.02,-17.869999999999997,-0.09,0.007,98.6416
681,Campari Cocktail.BLH,Beverage,Ent - Cocktails,Star,20359.78,170,119.76,0.0,0.0,0.0069,98.6485
682,Fathers Month Promo,Food,Light Meals,Puzzle,20305.63,27,752.06,0.0,0.0,0.0069,98.6554
683,Thors Hammer,Food,Main Grill,Puzzle,20069.59,34,590.28,-243.26,-1.2,0.0068,98.6622
684,Christmas Day Lunch Kiddies Menu,Food,Main Specials,Star,19881.46,68,292.37,0.0,0.0,0.0068,98.669
685,Swartberg Wingerde Holism Garnac,Beverage,Ent - Red Wine,Puzzle,19809.27,43,460.68,0.0,0.0,0.0067,98.6757
686,AW4 Hartenberg Estate CWG Auctio,Beverage,Ent - Red Wine,Puzzle,19637.8,14,1402.7,0.0,0.0,0.0067,98.6824
687,Fusion Tea,Food,Ent - Tea,Star,19554.23,775,25.23,-72.74,-0.37,0.0066,98.689
688,4 Fresh Oysters,Food,Hot Starter,Star,19533.11,140,139.52,-50.54,-0.26,0.0066,98.6956
689,Johnnie Walker Blue Label Bottle,Beverage,Ent - Whiskey,Puzzle,19493.4,3,6497.8,0.0,0.0,0.0066,98.7022
690,Klipdrift Gold ,Beverage,Ent - Brandy,Star,19379.69,446,43.45,0.0,0.0,0.0066,98.7088
691,Autograph Gin ,Beverage,Ent - White Spirits,Star,19368.86,341,56.8,-109.2,-0.56,0.0066,98.7154
692,Glenmorangie Quinta Ruban,Beverage,Ent - Whiskey,Star,19194.5,191,100.49,-71.48,-0.37,0.0065,98.7219
693,Brogoluce Prosecco 750ml,Beverage,Ent - Sparkling Wine,Puzzle,18951.92,27,701.92,0.0,0.0,0.0064,98.7283
694,Spier Sauvignon Blanc Can 250ml,Beverage,Ent - White Wine,Star,18937.71,180,105.21,-14.21,-0.07,0.0064,98.7347
695,Cederberg Chenin Blanc ,Beverage,Ent - White Wine,Puzzle,18915.82,52,363.77,0.0,0.0,0.0064,98.7411
696,Ciroc Mango Vodka Bottle,Beverage,Ent - White Spirits,Puzzle,18878.64,14,1348.47,-174.36,-0.92,0.0064,98.7475
697,Glenelly Le Rose de May 750ml,Beverage,Ent - Rose Wine,Star,18757.89,65,288.58,0.0,0.0,0.0064,98.7539
698,Restless River Le Luc Pinot Noir,Beverage,Ent - Red Wine,Puzzle,18699.23,22,849.96,0.0,0.0,0.0064,98.7603
699,CD23 - 2 Veuve Clicquot Yellow L,Beverage,Prop - Sparkling Wine,Puzzle,18500.68,9,2055.63,0.0,0.0,0.0063,98.7666
700,Omelette Classico,Food,Breakfast Extra,Star,18456.91,3136,5.89,-67.23,-0.36,0.0063,98.7729
701,Malfy Italian Rosa Gin,Beverage,Ent - White Spirits,Star,18316.58,302,60.65,-129.96,-0.7,0.0062,98.7791
702,Pan-Seared Duck,Food,Main Specials,Star,18315.68,67,273.37,-49.64,-0.27,0.0062,98.7853
703,Damascene WO Swartland Syrah 750,Beverage,Ent - Red Wine,Puzzle,18212.8,28,650.46,-129.96,-0.71,0.0062,98.7915
704,Rall Red 750ml,Beverage,Ent - Red Wine,Puzzle,18184.82,28,649.46,0.0,0.0,0.0062,98.7977
705,Malibu ,Beverage,Ent - White Spirits,Star,18010.65,470,38.32,-43.32,-0.24,0.0061,98.8038
706,Mirabelle Vineyards Rose 750ml,Beverage,Ent - Rose Wine,Star,17997.11,70,257.1,-70.39,-0.39,0.0061,98.8099
707,Samp with Tomato Gravy,Food,Side Orders,Star,17793.37,399,44.59,-91.38,-0.51,0.006,98.8159
708,Vusa African Vodka GLS,Beverage,Ent - White Spirits,Star,17793.14,403,44.15,-8.12,-0.05,0.006,98.8219
709,La Motte Cabernet Sauv 750ml,Beverage,Ent - Red Wine,Puzzle,17688.46,25,707.54,0.0,0.0,0.006,98.8279
710,Lagavulin 16 YO Bottle,Beverage,Ent - Whiskey,Puzzle,17517.89,7,2502.56,-707.54,-3.88,0.0059,98.8338
711,Johnny Walker Blonde 750ml,Beverage,Ent - Whiskey,Star,17423.14,262,66.5,0.0,0.0,0.0059,98.8397
712,Lallier Serie R Brut R 015 750ml,Beverage,Ent - Sparkling Wine,Puzzle,17304.91,13,1331.15,0.0,0.0,0.0059,98.8456
713,Kahlua,Beverage,Ent - Liqueur,Star,17284.15,394,43.87,-79.42,-0.46,0.0059,98.8515
714,Toast 2 Slices,Food,Breakfast Extra,Star,17188.49,860,19.99,-12.64,-0.07,0.0058,98.8573
715,Alheit Vineyards Hemelrand Vine ,Beverage,Ent - White Wine,Puzzle,17153.74,28,612.63,-940.83,-5.2,0.0058,98.8631
716,Haute Cabriere Unwooded Pinot No,Beverage,Ent - Red Wine,Star,16968.280000000002,122,139.08,-16.24,-0.1,0.0058,98.8689
717,Kids Ban Split,Food,Kiddies Menu,Star,16731.47,393,42.57,-159.19,-0.94,0.0057,98.8746
718,Bernaise Suace,Food,Side Orders,Star,16704.09,316,52.86,-95.44,-0.57,0.0057,98.886
719,Health Bowl Halloumi,Food,Salad,Star,16704.09,116,144.0,-45.8,-0.27,0.0057,98.8803
720,CD23 - 2 Moet & Chandon Nectar I,Beverage,Prop - Sparkling Wine,Puzzle,16650.62,8,2081.33,0.0,0.0,0.0057,98.8917
721,Le Riche Cabernet Sauvignon 750m,Beverage,Ent - Red Wine,Puzzle,16623.54,28,593.7,-162.45,-0.97,0.0056,98.8973
722,Mullineux Syrah GLS,Beverage,Ent - Red Wine,Star,16614.52,116,143.23,0.0,0.0,0.0056,98.9029
723,De Morgenzon Chenin Blanc Brut M,Beverage,Ent - Sparkling Wine,Puzzle,16528.78,32,516.52,0.0,0.0,0.0056,98.9085
724,Swartberg Wingerde Holism Palomi,Beverage,Ent - White Wine,Puzzle,16220.14,38,426.85,-37.9,-0.23,0.0055,98.914
725,Reyneke Biodynamic Syrah 750ml,Beverage,Ent - Red Wine,Puzzle,16212.01,33,491.27,0.0,0.0,0.0055,98.9195
726,Raats Family Red Jasper,Beverage,Ent - Red Wine,Puzzle,16188.1,26,622.62,-169.21,-1.03,0.0055,98.925
727,Mirari Blue Gin,Beverage,Ent - White Spirits,Star,16087.93,305,52.75,-4.96,-0.03,0.0055,98.9305
728,Nederburg Sauvignon Blanc ,Beverage,Ent - White Wine,Puzzle,15838.39,49,323.23,0.0,0.0,0.0054,98.9359
729,Glenfiddich 30 Year,Beverage,Ent - Whiskey,Puzzle,15703.02,26,603.96,0.0,0.0,0.0053,98.9412
730,Valdo DOC Extra Dry Prosecco 750,Beverage,Ent - Sparkling Wine,Puzzle,15580.28,38,410.01,-149.81,-0.95,0.0053,98.9465
731,Ned Paarl Pvt BinTwoCentur Cab S,Beverage,Ent - Red Wine,Puzzle,15486.43,15,1032.43,-397.08,-2.5,0.0053,98.9518
732,David Finlayson GS Cabernet Sauv,Beverage,Ent - Red Wine,Puzzle,15311.35,31,493.91,0.0,0.0,0.0052,98.957
733,Bayab African Rose 750ml,Beverage,Ent - White Spirits,Puzzle,15287.89,13,1175.99,0.0,0.0,0.0052,98.9622
734,AW4 Ettienne le Riche Cabernet S,Beverage,Ent - Red Wine,Puzzle,15161.54,7,2165.93,0.0,0.0,0.0051,98.9673
735,Glenfiddich 21 YO Bottle,Beverage,Ent - Whiskey,Puzzle,15161.54,2,7580.77,0.0,0.0,0.0051,98.9724
736,Express Breakfast,Food,Breakfast Extra,Star,15051.43,4867,3.09,-153.42,-1.01,0.0051,98.9775
737,Graham Beck Brut GLS,Beverage,Ent - Sparkling Wine,Star,15003.6,158,94.96,0.0,0.0,0.0051,98.9826
738,Glass Of Milk,Food,Ent - Milkshakes,Plowhorse,14900.18,875,17.03,-8.66,-0.06,0.0051,98.9877
739,Mirari Amber Gin,Beverage,Ent - White Spirits,Plowhorse,14837.73,286,51.88,-329.22,-2.17,0.005,98.9927
740,Genevieve MCC Rose GLS,Beverage,Ent - Sparkling Wine,Plowhorse,14687.74,140,104.91,0.0,0.0,0.005,98.9977
741,Durbanville Hills Pinotage,Beverage,Ent - Red Wine,Dog,14597.49,59,247.42,-67.69,-0.46,0.005,99.0027
742,Bombay Sapphire Gin,Beverage,Ent - White Spirits,Plowhorse,14595.689999999999,297,49.14,-61.370000000000005,-0.42,0.005,99.0077
